Pair,Procedure,prime_word,target_word,word2veccosine,LSA,Undirected,newdirected,pathlength,UPMFG_Cat,ACN_0.1,ACN.r.cat,zRTTarget_trim,mean_len_c,mean_logf_c,mean_ldtz_c,mean_conc_c,directedcollapsed,undirectedfac,kenettfac,directedfac,path_28,path_29,path_30,path_31,path_32,path_33,path_34,path_35,dijkstra_28,dijkstra_29,dijkstra_30,dijkstra_31,dijkstra_32,dijkstra_33,dijkstra_34,dijkstra_35,decay_28
RASPBERRY-MIX,S1,RASPBERRY,MIX,0.187145058,0.05,3,3,4,2,2,1,-0.169649188,-0.072806821,-0.442933083,0.17797201,0.636119356,3,3,4,3,2,2,2,2,2,2,2,2,1.164674486,1.164674486,1.164674486,1.164674486,1.179353377,1.205983039,1.205983039,1.205983039,1.232731637
RAW-CHILI,S1,RAW,CHILI,0.183476273,0.12,2,4,4,1,1,4,1.868535987,-2.072806821,-0.190933083,0.08447201,0.331119356,4,2,4,4,2,2,2,2,2,2,2,2,1.136481747,1.136481747,1.136481747,1.136481747,1.150155481,1.150155481,1.150155481,1.150155481,1.182022137
RECIPE-SAMPLE,S2,RECIPE,SAMPLE,0.224498416,0.11,2,5,2,2,2,4,-0.320862705,1.927193179,0.386066917,0.03547201,0.371119356,5,2,2,5,2,2,2,3,3,3,4,4,1.303593335,1.303593335,1.303593335,1.770678456,1.770678456,1.984583503,N/A,N/A,1.373305567
RECREATION-OUTDOORS,S2,RECREATION,OUTDOORS,0.408612502,0.31,2,4,1,1,1,5,-0.186090574,-0.072806821,0.001566917,0.13247201,-0.023880644,4,2,1,4,1,1,1,1,1,1,1,1,0.591387216,0.591387216,0.591387216,0.591387216,0.591387216,0.591387216,0.591387216,0.591387216,0.591387216
RECTANGLE-CUBE,S1,RECTANGLE,CUBE,0.554759368,0.38,2,2,1,5,1,5,-0.598478419,0.427193179,-0.668933083,-0.03452799,0.951119356,2,2,1,2,1,1,1,1,1,1,1,1,0.445240424,0.445240424,0.445240424,0.445240424,0.445240424,0.445240424,0.445240424,0.445240424,0.445240424
REFRAIN-DIRECTION,S1,REFRAIN,DIRECTION,0.08970286,0.03,2,3,2,5,2,3,0.337069343,1.927193179,0.572566917,0.00447201,-1.038880644,3,2,2,3,3,3,4,4,4,4,4,5,1.966034022,1.966034022,2.208245499,2.344026404,2.344026404,2.467040775,2.467040775,2.734111765,2.169190199
RELAX-MACHINE,S1,RELAX,MACHINE,0.01095731,0.02,2,3,15,4,3,1,0.295736658,-0.072806821,1.549066917,-0.28502799,-0.183880644,3,2,15,3,3,3,3,3,3,3,4,4,1.928741887,1.95159496,1.95159496,1.959401005,1.959401005,1.959401005,2.22561227,2.22561227,2.12921713
RELEASE-ANCHOR,S1,RELEASE,ANCHOR,-0.004097074,0.08,2,4,6,4,2,4,-0.533372898,0.427193179,0.941066917,-0.17152799,0.266119356,4,2,6,4,3,3,3,3,6,7,7,7,1.818611456,1.818611456,1.818611456,1.818611456,N/A,N/A,N/A,N/A,2.017087995
REMORSE-TRAGEDY,S1,REMORSE,TRAGEDY,0.281491314,0.26,2,4,1,2,1,5,-0.277124478,0.927193179,-1.245433083,0.07647201,-1.703880644,4,2,1,4,1,2,2,2,2,2,2,2,0.718508664,0.891414641,0.891414641,0.891414641,0.891414641,0.891414641,0.891414641,0.891414641,0.718508664
REPUBLICAN-CONVENT,S1,REPUBLICAN,CONVENT,0.207345733,0,4,6,15,2,3,3,1.059025986,2.427193179,-0.927433083,0.19147201,-0.363880644,H,4,15,6,2,2,2,2,2,2,2,2,1.019831629,1.019831629,1.063587733,1.063587733,1.063587733,1.063587733,1.063587733,1.063587733,1.051087106
REST-DASH,S1,REST,DASH,0.129842085,0.19,3,5,4,4,2,2,-0.295007715,-2.072806821,1.060566917,-0.23902799,-0.528880644,5,3,4,5,3,3,3,3,3,4,4,4,1.840537694,1.89587712,1.971969027,1.971969027,2.39186137,2.417327524,2.456904809,2.468797079,2.033428004
REVIEW-ADJECTIVE,S1,REVIEW,ADJECTIVE,0.06093367,0.1,3,4,3,1,2,2,0.741620588,1.427193179,0.127566917,-0.00302799,-1.118880644,4,3,3,4,3,3,3,3,3,3,3,4,1.717469638,1.717469638,1.717469638,1.717469638,1.717469638,2.217429153,2.217429153,2.253850335,1.907325037
RIDICULOUS-PRODUCTION,S1,RIDICULOUS,PRODUCTION,0.038875321,0.02,4,4,3,5,2,1,0.714371255,3.927193179,1.289066917,0.28547201,-1.548880644,4,4,3,4,4,4,4,4,4,4,4,4,2.129547275,2.129547275,2.129547275,2.129547275,2.189609803,2.189609803,2.189609803,2.287345795,2.514394721
ROAD-CAB,S2,ROAD,CAB,0.222318922,0.39,2,3,4,1,2,4,-0.703220041,-3.072806821,-1.148933083,-0.01752799,1.076119356,3,2,4,3,2,2,2,2,2,2,2,2,1.017074734,1.059903034,1.059903034,1.059903034,1.059903034,1.059903034,1.059903034,1.059903034,1.088507049
RODENT-JOY,S1,RODENT,JOY,0.046544591,-0.02,4,5,6,2,2,3,-0.596679642,-1.572806821,-0.534433083,-0.12952799,-0.203880644,5,4,6,5,3,3,3,3,3,3,3,3,1.765121906,1.765121906,1.765560843,1.765560843,1.765560843,1.765560843,1.765560843,1.765560843,1.945711411
ROOT-SPATULA,S2,ROOT,SPATULA,0.049682753,0.07,2,5,4,2,2,4,-0.568013698,-0.572806821,-0.384433083,0.07947201,0.911119356,5,2,4,5,3,3,3,3,3,3,3,4,1.876319724,1.891698721,1.891698721,1.891698721,1.891698721,1.891698721,2.396626908,2.913555525,2.063867989
RYE-BUTTER,S2,RYE,BUTTER,0.296319387,0.41,2,2,1,1,1,5,-0.166848106,-0.572806821,1.239566917,0.00547201,1.081119356,2,2,1,2,1,1,2,2,2,2,2,2,0.703680478,0.703680478,1.007287638,1.007287638,1.007287638,1.007287638,1.007287638,1.007287638,0.703680478
SAILOR-HARBOR,S1,SAILOR,HARBOR,0.321314832,0.61,2,2,1,4,1,5,-0.524680002,-0.072806821,-0.128433083,-0.10202799,0.976119356,2,2,1,2,1,1,1,1,1,2,2,2,0.678685091,0.678685091,0.678685091,0.678685091,0.678685091,0.962649382,0.962649382,0.962649382,0.678685091
SALES-ANTELOPE,S2,SALES,ANTELOPE,0.022127264,0,3,5,15,5,3,1,0.896023795,0.927193179,-1.049933083,0.16447201,0.191119356,5,3,15,5,3,4,4,4,4,4,4,4,2.27862285,2.27862285,2.323053815,2.408262699,2.408262699,2.408262699,2.471552264,2.776009466,2.654818563
SAMPLE-RECIPE,S1,SAMPLE,RECIPE,0.224498416,0.11,2,4,2,2,2,4,0.024298282,-0.072806821,1.013066917,-0.09052799,0.371119356,4,2,2,4,2,2,2,3,3,3,4,4,1.335197709,1.335197709,1.859280191,1.859280191,1.859280191,2.303340956,2.303340956,2.303340956,1.3983899
SCALPEL-ERECT,S1,SCALPEL,ERECT,0.035885362,0.12,3,4,6,5,2,1,0.983539892,-0.072806821,-2.037433083,0.50697201,0.561119356,4,3,6,4,3,3,3,3,3,4,4,4,1.811763373,1.811763373,1.811763373,1.872563485,2.082565475,2.083991824,2.083991824,2.083991824,2.003458151
SCARED-DISGUST,S2,SCARED,DISGUST,0.184471954,0.26,3,4,4,4,2,1,-0.433416098,0.427193179,0.306566917,0.22947201,-1.393880644,4,3,4,4,2,2,2,2,2,2,2,2,1.058085301,1.058085301,1.058085301,1.058085301,1.058085301,1.058085301,1.058085301,1.058085301,1.116745135
SCHEDULE-DIGIT,S2,SCHEDULE,DIGIT,0.046672352,0.3,3,4,3,2,2,2,1.199070833,0.427193179,-0.645933083,0.04247201,0.261119356,4,3,3,4,3,3,3,3,4,5,5,6,1.945007775,1.945007775,2.004412665,2.004412665,2.598550939,3.085971472,3.085971472,3.317850299,2.148773832
SCHEME-EXHAUSTED,S1,SCHEME,EXHAUSTED,0.02659086,0.2,3,4,15,5,3,3,0.012740536,1.427193179,0.134566917,-0.01652799,-1.098880644,4,3,15,4,4,4,4,4,4,4,4,4,2.407396568,2.407396568,2.407396568,2.56279575,2.56279575,2.885785675,2.885785675,2.885785675,2.757185156
SCRAMBLE-HORRIBLE,S2,SCRAMBLE,HORRIBLE,0.126889353,0.08,3,3,3,4,3,1,0.201843615,1.927193179,-0.575933083,-0.02752799,-0.983880644,3,3,3,3,2,2,3,3,3,3,3,3,1.412317118,1.412317118,1.707247037,1.707247037,1.707247037,1.707247037,1.811077508,1.811077508,1.482835732
SCRATCH-ARMOR,S2,SCRATCH,ARMOR,0.116205827,0.04,3,5,4,5,2,2,0.00803188,-0.572806821,0.323566917,0.12097201,0.721119356,5,3,4,5,3,3,3,3,3,3,3,4,1.887304553,1.887304553,1.887304553,1.887304553,1.887304553,1.887304553,1.887304553,2.483091202,2.086286581
SEA-SURVEY,S1,SEA,SURVEY,0.115551587,0.02,3,5,15,4,3,1,0.059580955,-1.572806821,1.614066917,-0.31402799,0.696119356,5,3,15,5,4,4,4,4,4,4,4,4,2.26934656,2.318510003,2.318510003,2.318510003,2.631726196,2.634829004,2.634829004,2.634829004,2.566214323
SEAFOOD-CONFERENCE,S1,SEAFOOD,CONFERENCE,-0.007247039,-0.02,3,5,3,3,2,2,1.152942896,2.427193179,0.218566917,-0.00052799,0.606119356,5,3,3,5,3,3,3,3,3,3,3,3,1.748165341,1.748165341,1.748165341,1.748165341,1.748165341,1.748165341,1.748165341,1.748165341,1.92404908
